date_mutation,valeur_fonciere,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
20/01/2020,86000,Saint-André-Goule-d'Oie,Maison,85,3,200,-1.20214,46.843688
21/01/2020,110000,Mareuil-sur-Lay-Dissais,Appartement,69,4,136,-1.215756,46.535369
09/01/2020,296000,Montaigu-Vendée,Maison,125,5,726,-1.293896,46.940258
07/01/2020,25550,Les Landes-Genusson,Maison,100,5,65,-1.113368,46.9605
02/01/2020,134000,Mouilleron-le-Captif,Maison,101,6,570,-1.454576,46.714754
10/01/2020,110000,Saint-Germain-de-Prinçay,Maison,80,5,804,-1.041755,46.717449
10/01/2020,110000,Saint-Germain-de-Prinçay,Maison,80,5,276,-1.041755,46.717449
13/01/2020,204000,La Roche-sur-Yon,Maison,89,4,605,-1.441136,46.680235
13/01/2020,204000,La Roche-sur-Yon,Maison,31,2,605,-1.441136,46.680235
03/01/2020,150000,Les Lucs-sur-Boulogne,Maison,69,3,500,-1.489268,46.848752
03/01/2020,150000,Les Lucs-sur-Boulogne,Maison,69,3,327,-1.489268,46.848752
15/01/2020,227500,La Roche-sur-Yon,Maison,87,4,140,-1.434069,46.667684
08/01/2020,277000,La Roche-sur-Yon,Maison,200,6,1025,-1.420589,46.68106
10/01/2020,138960,Les Brouzils,Maison,86,4,2583,-1.344128,46.879063
14/01/2020,69000,Saint-Martin-des-Noyers,Maison,84,3,560,-1.19688,46.719957
10/01/2020,202000,Aizenay,Maison,105,4,297,-1.606309,46.74314
10/01/2020,165000,Montréverd,Maison,128,6,674,-1.452254,46.907344
15/01/2020,198000,Chantonnay,Maison,36,1,635,-1.05659,46.683617
15/01/2020,198000,Chantonnay,Maison,110,4,635,-1.05659,46.683617
08/01/2020,260000,La Genétouze,Maison,119,5,500,-1.513333,46.725153
08/01/2020,260000,La Genétouze,Maison,119,5,1260,-1.513333,46.725153
13/01/2020,132000,Sainte-Cécile,Maison,129,4,418,-1.107323,46.743945
07/01/2020,90000,Cugand,Maison,70,3,165,-1.255727,47.063987
02/01/2020,68000,Le Poiré-sur-Vie,Maison,161,5,2134,-1.45797,46.741436
10/01/2020,160000,La Ferrière,Maison,73,5,298,-1.294458,46.714327
09/01/2020,235000,Montaigu-Vendée,Maison,97,5,825,-1.312336,46.980309
06/01/2020,225000,La Roche-sur-Yon,Maison,101,4,291,-1.438723,46.666007
11/01/2020,133000,Aizenay,Maison,89,3,244,-1.59903,46.736652
10/01/2020,133000,Mouilleron-le-Captif,Maison,71,3,518,-1.452147,46.717176
10/01/2020,165000,Nesmy,Maison,101,4,177,-1.413448,46.56922
06/01/2020,185000,Thorigny,Maison,139,6,527,-1.245434,46.614908
06/01/2020,185000,Thorigny,Maison,139,6,500,-1.245434,46.614908
20/01/2020,140000,Chantonnay,Maison,100,5,1335,-1.021457,46.683129
20/01/2020,140000,Chantonnay,Maison,100,5,235,-1.021457,46.683129
13/01/2020,140000,Aizenay,Maison,73,4,444,-1.604671,46.745404
20/01/2020,95000,Sainte-Cécile,Maison,60,3,94,-1.113892,46.743345
20/01/2020,95000,Sainte-Cécile,Maison,47,2,94,-1.113892,46.743345
13/01/2020,483400,Mouilleron-le-Captif,Maison,174,6,1500,-1.442336,46.726475
13/01/2020,483400,Mouilleron-le-Captif,Maison,174,6,4950,-1.442336,46.726475
14/01/2020,110000,Les Herbiers,Maison,64,3,314,-1.010984,46.86806
07/01/2020,64000,Les Herbiers,Maison,50,3,38,-1.016128,46.870982
03/01/2020,20700,Château-Guibert,Maison,78,2,1621,-1.273288,46.565593
03/01/2020,20700,Château-Guibert,Maison,78,2,800,-1.273288,46.565593
17/01/2020,210000,Montaigu-Vendée,Maison,70,4,325,-1.311953,46.97189
15/01/2020,130000,Chauché,Maison,83,3,582,-1.287306,46.829159
03/01/2020,195000,La Ferrière,Maison,108,4,668,-1.312521,46.718741
14/01/2020,232000,Aizenay,Maison,129,5,759,-1.614666,46.75142
17/01/2020,155000,Saint-Martin-des-Noyers,Maison,115,6,918,-1.181552,46.718927
17/01/2020,215000,La Chaize-le-Vicomte,Maison,155,5,6146,-1.302928,46.676859
17/01/2020,215000,La Chaize-le-Vicomte,Maison,155,5,700,-1.302928,46.676859
10/01/2020,163000,Mortagne-sur-Sèvre,Maison,104,3,159,-0.954339,46.993156
16/01/2020,208590,Essarts en Bocage,Maison,96,6,500,-1.156274,46.799478
16/01/2020,208590,Essarts en Bocage,Maison,96,6,1265,-1.156274,46.799478
10/01/2020,204000,Saint-Aubin-des-Ormeaux,Maison,124,4,889,-1.040428,46.991362
21/01/2020,35000,La Ferrière,Maison,105,3,5902,-1.354916,46.743066
15/01/2020,168000,Les Herbiers,Maison,147,3,340,-1.053002,46.898114
11/01/2020,102000,Dompierre-sur-Yon,Maison,78,3,394,-1.391689,46.773611
03/01/2020,160000,La Roche-sur-Yon,Maison,85,3,484,-1.434022,46.679728
23/01/2020,165000,Rochetrejoux,Maison,89,4,344,-1.000423,46.786172
23/01/2020,165000,Rochetrejoux,Maison,89,4,720,-1.000423,46.786172
17/01/2020,72000,Rocheservière,Maison,32,1,95,-1.509939,46.93745
15/01/2020,178000,Bellevigny,Maison,93,4,315,-1.379954,46.78203
03/01/2020,172000,Saint-Prouant,Maison,98,4,805,-0.954449,46.753714
07/01/2020,60000,Treize-Vents,Maison,96,4,348,-0.850281,46.921687
14/01/2020,77500,Les Herbiers,Maison,66,3,357,-1.051186,46.875935
13/01/2020,225000,Mouilleron-le-Captif,Maison,115,7,540,-1.456378,46.722782
10/01/2020,1440000,Les Epesses,Maison,108,5,479,-0.898131,46.879546
10/01/2020,1440000,Les Epesses,Maison,108,5,2563,-0.898131,46.879546
09/01/2020,96000,Thorigny,Maison,89,4,173,-1.242168,46.610913
14/01/2020,130000,La Roche-sur-Yon,Maison,73,4,276,-1.438226,46.674199
22/01/2020,160000,Saint-Denis-la-Chevasse,Maison,113,4,734,-1.361877,46.819821
17/01/2020,180000,Mouilleron-le-Captif,Maison,89,4,540,-1.464833,46.72698
15/01/2020,194000,La Roche-sur-Yon,Maison,90,4,531,-1.411598,46.648122
13/01/2020,182000,Venansault,Maison,82,4,364,-1.520966,46.690587
10/01/2020,168000,La Couture,Maison,135,5,1000,-1.262163,46.524937
13/01/2020,129000,La Ferrière,Appartement,35,2,55,-1.316071,46.714461
13/01/2020,129000,La Ferrière,Appartement,30,2,55,-1.316071,46.714461
10/01/2020,290405,Montaigu-Vendée,Maison,140,5,546,-1.336119,47.00652
23/01/2020,115000,Sainte-Cécile,Maison,107,4,593,-1.115078,46.742867
22/01/2020,267000,Rives de l'Yon,Maison,115,5,1502,-1.369379,46.581862
22/01/2020,267000,Rives de l'Yon,Maison,115,5,700,-1.369379,46.581862
21/01/2020,265210,Montaigu-Vendée,Maison,128,6,882,-1.289054,46.939523
14/01/2020,217000,La Roche-sur-Yon,Maison,145,6,660,-1.396661,46.662438
27/01/2020,270000,La Roche-sur-Yon,Maison,120,4,516,-1.44545,46.683635
15/01/2020,155950,La Roche-sur-Yon,Maison,82,5,247,-1.417166,46.685389
08/01/2020,75000,Venansault,Maison,70,2,390,-1.545502,46.718163
24/01/2020,130000,Montréverd,Maison,90,3,135,-1.412249,46.924843
16/01/2020,275000,Dompierre-sur-Yon,Maison,96,4,700,-1.401789,46.723461
16/01/2020,275000,Dompierre-sur-Yon,Maison,96,4,800,-1.401789,46.723461
13/01/2020,135000,Saint-Aubin-des-Ormeaux,Maison,85,4,636,-1.039776,46.9907
29/01/2020,169600,Aubigny-Les Clouzeaux,Maison,86,4,506,-1.4591,46.591077
29/01/2020,185000,La Roche-sur-Yon,Maison,120,4,943,-1.430602,46.636634
31/01/2020,150000,Rives de l'Yon,Maison,100,3,1200,-1.297375,46.608656
31/01/2020,150000,Rives de l'Yon,Maison,100,3,500,-1.297375,46.608656
08/01/2020,142000,Bellevigny,Maison,114,5,1080,-1.427229,46.77914
28/01/2020,220000,Cugand,Maison,78,4,1806,-1.24257,47.067195
30/01/2020,300000,La Roche-sur-Yon,Maison,122,6,462,-1.414419,46.664313
14/01/2020,252600,Rives de l'Yon,Maison,176,7,2535,-1.373113,46.579986
14/01/2020,252600,Rives de l'Yon,Maison,176,7,500,-1.373113,46.579986
06/01/2020,135000,La Gaubretière,Maison,95,5,760,-1.067983,46.942901
27/01/2020,256000,La Roche-sur-Yon,Maison,134,6,239,-1.425649,46.666759
17/01/2020,181000,Beaurepaire,Maison,90,4,574,-1.082113,46.911728
17/01/2020,144800,Beaufou,Maison,92,4,804,-1.522707,46.828895
17/01/2020,144800,Beaufou,Maison,92,4,989,-1.522707,46.828895
17/01/2020,144800,Beaufou,Maison,92,4,1346,-1.522707,46.828895
29/01/2020,195000,La Roche-sur-Yon,Maison,116,5,362,-1.41592,46.660091
18/01/2020,52000,Aizenay,Maison,48,2,68,-1.606209,46.740137
17/01/2020,89000,Chavagnes-en-Paillers,Maison,160,5,98,-1.249674,46.893008
18/01/2020,100000,Mouilleron-le-Captif,Maison,75,3,530,-1.450736,46.715803
29/01/2020,161600,Bellevigny,Maison,107,4,500,-1.416874,46.810836
29/01/2020,161600,Bellevigny,Maison,107,4,1019,-1.416874,46.810836
17/01/2020,241000,La Bernardière,Maison,115,5,500,-1.260555,47.044613
17/01/2020,241000,La Bernardière,Maison,115,5,1000,-1.260555,47.044613
06/01/2020,170000,Les Herbiers,Maison,114,4,440,-1.015985,46.863391
31/01/2020,261900,La Gaubretière,Maison,163,6,500,-1.074327,46.94178
31/01/2020,261900,La Gaubretière,Maison,163,6,634,-1.074327,46.94178
09/01/2020,84000,Château-Guibert,Maison,71,4,845,-1.236587,46.582463
09/01/2020,84000,Château-Guibert,Maison,71,4,500,-1.236587,46.582463
16/01/2020,75000,Rosnay,Maison,70,3,1985,-1.286329,46.52867
10/01/2020,212000,Aubigny-Les Clouzeaux,Maison,130,4,266,-1.508006,46.629821
29/01/2020,186000,La Roche-sur-Yon,Maison,73,4,299,-1.431803,46.676068
22/01/2020,190000,Aizenay,Maison,101,6,400,-1.60333,46.739819
30/01/2020,189900,Chauché,Maison,171,6,700,-1.27524,46.829439
30/01/2020,189900,Chauché,Maison,171,6,1503,-1.27524,46.829439
30/01/2020,87000,Sainte-Cécile,Maison,97,5,691,-1.113927,46.74229
24/01/2020,180000,La Boissière-de-Montaigu,Maison,122,5,706,-1.193822,46.949159
16/01/2020,370000,Mouilleron-le-Captif,Maison,129,4,484,-1.459827,46.719152
16/01/2020,210000,Saint-Aubin-des-Ormeaux,Maison,105,6,913,-1.043858,46.996607
04/02/2020,193000,La Roche-sur-Yon,Maison,75,5,349,-1.441851,46.66447
15/01/2020,120000,Les Epesses,Maison,70,3,549,-0.892902,46.88061
15/01/2020,314000,Chanverrie,Maison,124,4,545,-0.985775,46.961526
20/01/2020,145000,La Roche-sur-Yon,Maison,76,5,337,-1.416367,46.684564
13/01/2020,185000,Mortagne-sur-Sèvre,Maison,87,3,843,-0.94856,46.999207
20/01/2020,135000,La Roche-sur-Yon,Maison,88,3,500,-1.397468,46.633308
20/01/2020,135000,La Roche-sur-Yon,Maison,88,3,1370,-1.397468,46.633308
21/01/2020,100000,Les Lucs-sur-Boulogne,Maison,87,3,102,-1.492609,46.841781
05/02/2020,205000,Montaigu-Vendée,Maison,81,4,665,-1.28271,46.938512
04/02/2020,180000,Montaigu-Vendée,Maison,92,4,480,-1.247358,46.96474
15/01/2020,50350.91,Aubigny-Les Clouzeaux,Maison,95,4,556,-1.45992,46.590833
24/01/2020,206000,L'Herbergement,Maison,107,5,1165,-1.369155,46.908082
24/01/2020,206000,L'Herbergement,Maison,107,5,600,-1.369155,46.908082
07/01/2020,410000,Le Poiré-sur-Vie,Maison,202,7,1952,-1.512593,46.774204
07/01/2020,410000,Le Poiré-sur-Vie,Maison,202,7,2028,-1.512593,46.774204
07/01/2020,410000,Le Poiré-sur-Vie,Maison,202,7,2795,-1.512593,46.774204
07/02/2020,145500,Aubigny-Les Clouzeaux,Maison,60,3,357,-1.509158,46.634228
07/02/2020,100000,La Roche-sur-Yon,Maison,125,6,376,-1.441448,46.670285
18/01/2020,250000,Aizenay,Maison,109,4,583,-1.622146,46.738596
24/01/2020,205000,Cugand,Appartement,18,1,650,-1.254194,47.059496
24/01/2020,205000,Cugand,Appartement,65,4,650,-1.254194,47.059496
10/02/2020,151200,La Roche-sur-Yon,Maison,64,4,202,-1.42486,46.67663
22/01/2020,140000,La Roche-sur-Yon,Maison,86,4,148,-1.437736,46.674694
22/01/2020,125000,Nesmy,Maison,90,3,458,-1.387527,46.57006
22/01/2020,125000,Nesmy,Maison,49,2,146,-1.387483,46.569819
15/01/2020,152000,Les Herbiers,Maison,62,4,464,-1.020071,46.875154
13/01/2020,130000,Moutiers-sur-le-Lay,Maison,124,4,530,-1.15323,46.551682
07/02/2020,222000,Thorigny,Maison,120,6,500,-1.270345,46.627541
07/02/2020,222000,Thorigny,Maison,120,6,954,-1.270345,46.627541
29/01/2020,143000,Bournezeau,Maison,81,5,870,-1.175255,46.633397
31/01/2020,290000,La Roche-sur-Yon,Maison,71,4,135,-1.422115,46.668892
23/01/2020,184000,Aizenay,Maison,91,5,1000,-1.622642,46.734205
23/01/2020,184000,Aizenay,Maison,91,5,3597,-1.622642,46.734205
30/01/2020,82000,Saint-Vincent-Sterlanges,Maison,74,3,468,-1.087367,46.742119
30/01/2020,82000,Saint-Vincent-Sterlanges,Maison,74,3,500,-1.087367,46.742119
16/01/2020,169000,Venansault,Maison,90,4,579,-1.504507,46.682842
17/01/2020,263000,La Roche-sur-Yon,Maison,114,7,455,-1.406893,46.673065
30/01/2020,70100,Sigournais,Maison,72,4,160,-0.987687,46.706479
24/01/2020,28161.62,Saint-Prouant,Maison,94,6,63160,-0.990678,46.765678
