code_commune,annee_mutation,valeur_fonciere,nom_commune,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
7,2020,540000,Angers,15,1,105,-0.552578,47.473114
7,2020,540000,Angers,47,2,105,-0.552578,47.473114
7,2020,540000,Angers,28,3,105,-0.552578,47.473114
7,2020,340000,Angers,25,1,204,-0.554521,47.473638
7,2020,340000,Angers,53,2,204,-0.554521,47.473638
7,2020,340000,Angers,30,1,204,-0.554521,47.473638
7,2020,340000,Angers,32,1,204,-0.554521,47.473638
7,2020,750000,Angers,29,2,276,-0.537453,47.473336
7,2020,750000,Angers,26,2,276,-0.537453,47.473336
7,2020,750000,Angers,28,2,276,-0.537453,47.473336
7,2020,750000,Angers,28,2,276,-0.537453,47.473336
7,2020,750000,Angers,29,2,276,-0.537453,47.473336
7,2020,750000,Angers,29,2,276,-0.537453,47.473336
7,2020,750000,Angers,28,2,276,-0.537453,47.473336
7,2020,750000,Angers,29,2,276,-0.537453,47.473336
7,2020,750000,Angers,29,2,276,-0.537453,47.473336
7,2020,750000,Angers,25,2,276,-0.537453,47.473336
7,2020,370000,Angers,45,2,593,-0.542683,47.481026
7,2020,370000,Angers,47,2,593,-0.542683,47.481026
7,2020,1401590,Angers,12,1,177,-0.552544,47.474679
7,2020,1401590,Angers,23,2,177,-0.552544,47.474679
7,2020,1401590,Angers,17,1,177,-0.552544,47.474679
7,2020,1401590,Angers,12,1,177,-0.552544,47.474679
7,2020,1401590,Angers,16,2,177,-0.552544,47.474679
7,2020,1401590,Angers,16,1,177,-0.552544,47.474679
7,2020,1401590,Angers,14,1,177,-0.552544,47.474679
7,2020,1401590,Angers,17,1,177,-0.552544,47.474679
7,2020,1401590,Angers,16,1,177,-0.552544,47.474679
7,2020,1401590,Angers,25,1,177,-0.552544,47.474679
7,2020,1401590,Angers,17,1,177,-0.552544,47.474679
7,2020,1401590,Angers,17,1,177,-0.552544,47.474679
7,2020,1401590,Angers,16,1,177,-0.552544,47.474679
7,2020,1401590,Angers,12,1,177,-0.552544,47.474679
7,2020,1401590,Angers,19,2,177,-0.552544,47.474679
7,2020,1401590,Angers,23,2,177,-0.552544,47.474679
7,2020,1401590,Angers,23,1,177,-0.552544,47.474679
