date_mutation,valeur_fonciere,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
04/01/2017,176000,Les Landes-Genusson,Maison,140,5,740,-1.103215,46.963951
10/01/2017,165000,La Roche-sur-Yon,Maison,117,7,803,-1.433155,46.65558
04/01/2017,345000,Moutiers-sur-le-Lay,Maison,270,10,1555,-1.162397,46.565265
06/01/2017,72500,Saint-André-Goule-d'Oie,Maison,55,3,588,-1.185451,46.83207
09/01/2017,130000,La Ferrière,Maison,64,3,603,-1.323078,46.713512
05/01/2017,260000,La Roche-sur-Yon,Maison,190,7,353,-1.434837,46.67482
05/01/2017,160000,La Roche-sur-Yon,Maison,82,5,405,-1.44096,46.677422
03/01/2017,122500,La Roche-sur-Yon,Maison,90,5,431,-1.410088,46.661737
03/01/2017,212800,Aubigny-Les Clouzeaux,Maison,163,8,856,-1.448459,46.600623
03/01/2017,118000,Aubigny-Les Clouzeaux,Maison,72,3,500,-1.48557,46.656262
03/01/2017,118000,Aubigny-Les Clouzeaux,Maison,72,3,1429,-1.48557,46.656262
03/01/2017,118000,Aubigny-Les Clouzeaux,Maison,72,3,1065,-1.48557,46.656262
04/01/2017,209000,Le Poiré-sur-Vie,Maison,88,3,2150,-1.478754,46.766069
04/01/2017,209000,Le Poiré-sur-Vie,Maison,88,3,1000,-1.478754,46.766069
05/01/2017,183900,Aizenay,Maison,83,4,602,-1.616911,46.740508
11/01/2017,165000,La Roche-sur-Yon,Maison,82,4,450,-1.431245,46.653698
09/01/2017,100000,Saint-Prouant,Maison,68,4,385,-0.953359,46.75872
09/01/2017,124000,Saint-Germain-de-Prinçay,Maison,80,4,800,-1.01838,46.719553
02/01/2017,124850,Essarts en Bocage,Maison,90,3,1099,-1.148346,46.77008
02/01/2017,124850,Essarts en Bocage,Maison,75,3,1099,-1.148346,46.77008
03/01/2017,79400,Essarts en Bocage,Maison,37,2,895,-1.128691,46.797019
03/01/2017,79400,Essarts en Bocage,Maison,154,4,895,-1.128691,46.797019
03/01/2017,79400,Essarts en Bocage,Maison,105,4,895,-1.128691,46.797019
16/01/2017,279000,La Roche-sur-Yon,Maison,123,5,522,-1.412084,46.673867
11/01/2017,220000,La Roche-sur-Yon,Maison,115,7,468,-1.455106,46.655079
16/01/2017,192000,La Roche-sur-Yon,Maison,92,4,363,-1.393989,46.664914
17/01/2017,183000,Le Poiré-sur-Vie,Maison,117,4,1402,-1.53177,46.783357
17/01/2017,183000,Le Poiré-sur-Vie,Maison,117,4,500,-1.53177,46.783357
13/01/2017,135000,Aizenay,Maison,79,3,800,-1.619192,46.741474
14/01/2017,111600,Le Poiré-sur-Vie,Maison,65,2,609,-1.512167,46.770801
13/01/2017,232000,Montaigu-Vendée,Maison,118,5,902,-1.284206,46.94077
03/01/2017,82500,Les Herbiers,Maison,130,6,658,-0.989973,46.832958
05/01/2017,16000,Les Herbiers,Maison,35,1,117,-1.045228,46.887548
10/01/2017,157000,Aizenay,Maison,85,4,519,-1.603497,46.742242
11/01/2017,121000,La Roche-sur-Yon,Maison,78,4,350,-1.414866,46.684134
11/01/2017,137000,Saint-Martin-des-Noyers,Maison,82,4,523,-1.178339,46.724603
