date_mutation,valeur_fonciere,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
05/01/2018,204000,La Roche-sur-Yon,Maison,127,5,640,-1.426401,46.655419
04/01/2018,50000,Rives de l'Yon,Maison,37,2,324,-1.337364,46.59479
04/01/2018,141500,Montréverd,Maison,97,4,474,-1.39073,46.923861
10/01/2018,182295,Chantonnay,Maison,89,3,500,-1.062079,46.680387
10/01/2018,182295,Chantonnay,Maison,89,3,1617,-1.062079,46.680387
03/01/2018,96500,Montréverd,Maison,126,5,912,-1.426104,46.891359
03/01/2018,96500,Montréverd,Maison,126,5,500,-1.426104,46.891359
10/01/2018,90000,Montaigu-Vendée,Maison,71,3,110,-1.273086,46.920655
09/01/2018,160000,Treize-Septiers,Maison,120,5,582,-1.225361,46.986579
09/01/2018,160000,Treize-Septiers,Maison,120,5,500,-1.225361,46.986579
05/01/2018,170000,Montaigu-Vendée,Maison,94,4,662,-1.309011,46.971937
12/01/2018,148000,Chavagnes-en-Paillers,Maison,140,4,445,-1.254583,46.889502
04/01/2018,158000,La Roche-sur-Yon,Maison,92,3,208,-1.425232,46.666117
04/01/2018,40600,Montaigu-Vendée,Maison,62,2,508,-1.355167,46.968985
05/01/2018,156900,La Roche-sur-Yon,Maison,89,4,204,-1.413425,46.665148
04/01/2018,114000,Treize-Septiers,Maison,65,2,348,-1.235794,47.013484
04/01/2018,114000,Treize-Septiers,Maison,45,3,348,-1.235794,47.013484
05/01/2018,187250,La Roche-sur-Yon,Maison,85,4,378,-1.448848,46.677434
04/01/2018,94500,Bellevigny,Maison,88,5,640,-1.431841,46.786357
05/01/2018,60000,Saint-Laurent-sur-Sèvre,Maison,46,3,108,-0.902471,46.966548
05/01/2018,188000,Aizenay,Maison,136,3,407,-1.610741,46.730226
10/01/2018,120000,Montaigu-Vendée,Maison,135,5,425,-1.318414,46.975079
08/01/2018,165800,Aubigny-Les Clouzeaux,Maison,93,4,987,-1.448199,46.641359
08/01/2018,165800,Aubigny-Les Clouzeaux,Maison,93,4,625,-1.448199,46.641359
06/01/2018,120000,Le Poiré-sur-Vie,Maison,121,4,265,-1.482231,46.743094
08/01/2018,92500,La Roche-sur-Yon,Maison,62,4,476,-1.442082,46.680584
08/01/2018,145000,La Roche-sur-Yon,Maison,114,5,291,-1.433536,46.663199
03/01/2018,95000,Cugand,Maison,52,2,770,-1.248899,47.061934
12/01/2018,232000,Treize-Septiers,Maison,132,6,500,-1.225285,46.983891
12/01/2018,232000,Treize-Septiers,Maison,132,6,786,-1.225285,46.983891
05/01/2018,190000,La Bretonnière-la-Claye,Maison,220,4,1595,-1.288825,46.478682
05/01/2018,190000,La Bretonnière-la-Claye,Maison,220,4,4920,-1.288825,46.478682
05/01/2018,190000,La Bretonnière-la-Claye,Maison,220,4,2120,-1.288825,46.478682
05/01/2018,190000,La Bretonnière-la-Claye,Maison,220,4,590,-1.288825,46.478682
04/01/2018,39500,Essarts en Bocage,Maison,62,2,779,-1.136234,46.792057
09/01/2018,120000,La Roche-sur-Yon,Maison,70,3,975,-1.438265,46.68436
09/01/2018,120000,La Roche-sur-Yon,Maison,49,2,975,-1.438265,46.68436
04/01/2018,130000,Essarts en Bocage,Maison,93,4,2452,-1.225688,46.804884
04/01/2018,130000,Essarts en Bocage,Maison,93,4,1503,-1.225688,46.804884
12/01/2018,76000,Treize-Septiers,Maison,51,3,68,-1.235863,47.013668
08/01/2018,202000,Bellevigny,Maison,112,6,49,-1.420414,46.772393
05/01/2018,122000,La Roche-sur-Yon,Maison,81,4,176,-1.402268,46.660667
16/01/2018,184400,Mouilleron-le-Captif,Maison,101,4,3184,-1.452855,46.71016
16/01/2018,184400,Mouilleron-le-Captif,Maison,101,4,500,-1.452855,46.71016
16/01/2018,184400,Mouilleron-le-Captif,Maison,101,4,1500,-1.452855,46.71016
09/01/2018,52500,Moutiers-sur-le-Lay,Maison,85,2,130,-1.157944,46.554796
18/01/2018,260000,Montaigu-Vendée,Maison,127,5,723,-1.326989,46.977394
09/01/2018,99700,La Roche-sur-Yon,Maison,50,2,300,-1.404657,46.65649
18/01/2018,150000,La Copechagnière,Maison,45,2,268,-1.346092,46.84942
18/01/2018,150000,La Copechagnière,Maison,45,2,268,-1.346092,46.84942
18/01/2018,150000,La Copechagnière,Maison,45,2,268,-1.346092,46.84942
18/01/2018,150000,La Copechagnière,Maison,45,2,268,-1.346092,46.84942
18/01/2018,150000,La Copechagnière,Maison,45,2,268,-1.346092,46.84942
15/01/2018,168000,Aubigny-Les Clouzeaux,Maison,103,5,584,-1.453445,46.598253
11/01/2018,96000,La Roche-sur-Yon,Maison,32,2,110,-1.429576,46.675741
