,date_mutation,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude_appart,latitude_appart,Nom_commune,Code_postal,chef_lieu,longitude_cl,latitude_cl,distance
13304,2021,350000.0,64,3,-1.562419,47.230953,nantes,44000,nantes,-1.548204252,47.23204641,1.083280353502321
13305,2021,260000.0,104,5,-1.541784,47.23697,nantes,44300,nantes,-1.548204252,47.23204641,0.7321044140157074
13306,2021,190000.0,45,2,-1.555744,47.225036,nantes,44000,nantes,-1.548204252,47.23204641,0.9661642586011638
13307,2021,580500.0,74,5,-1.567261,47.214972,nantes,44000,nantes,-1.548204252,47.23204641,2.384647295452276
13308,2021,185000.0,60,3,-1.517644,47.259567,nantes,44300,nantes,-1.548204252,47.23204641,3.835890498150469
13309,2021,185000.0,68,4,-1.529581,47.237954,nantes,44300,nantes,-1.548204252,47.23204641,1.5556309254077263
13310,2021,318854.0,77,4,-1.563338,47.222636,nantes,44000,nantes,-1.548204252,47.23204641,1.55181761991792
13311,2021,260000.0,40,2,-1.55121,47.223168,nantes,44000,nantes,-1.548204252,47.23204641,1.0129676501979683
13312,2021,500000.0,100,5,-1.551855,47.22512,nantes,44000,nantes,-1.548204252,47.23204641,0.8181740268137048
13313,2021,650000.0,108,5,-1.573545,47.219678,nantes,44000,nantes,-1.548204252,47.23204641,2.360940568789053
13314,2021,650000.0,84,3,-1.573545,47.219678,nantes,44000,nantes,-1.548204252,47.23204641,2.360940568789053
13315,2021,650000.0,110,5,-1.573545,47.219678,nantes,44000,nantes,-1.548204252,47.23204641,2.360940568789053
13316,2021,750000.0,31,1,-1.536746,47.221938,nantes,44000,nantes,-1.548204252,47.23204641,1.4198467299042106
13317,2021,750000.0,62,3,-1.536746,47.221938,nantes,44000,nantes,-1.548204252,47.23204641,1.4198467299042106
13318,2021,750000.0,31,1,-1.536746,47.221938,nantes,44000,nantes,-1.548204252,47.23204641,1.4198467299042106
13319,2021,750000.0,62,3,-1.536746,47.221938,nantes,44000,nantes,-1.548204252,47.23204641,1.4198467299042106
13320,2021,750000.0,62,3,-1.536746,47.221938,nantes,44000,nantes,-1.548204252,47.23204641,1.4198467299042106
13321,2021,140000.0,43,2,-1.562694,47.230031,nantes,44000,nantes,-1.548204252,47.23204641,1.1199160840908735
13322,2021,271000.0,81,4,-1.587472,47.198023,nantes,44100,nantes,-1.548204252,47.23204641,4.812029269918635
13323,2021,120000.0,30,1,-1.534998,47.220712,nantes,44000,nantes,-1.548204252,47.23204641,1.608787044509828
13324,2021,350000.0,98,2,-1.581829,47.203018,nantes,44100,nantes,-1.548204252,47.23204641,4.11121455151162
13325,2021,345000.0,70,4,-1.547989,47.212096,nantes,44000,nantes,-1.548204252,47.23204641,2.218050183593056
13326,2021,270000.0,57,3,-1.579931,47.218545,nantes,44100,nantes,-1.548204252,47.23204641,2.833150972249246
13327,2021,235000.0,52,2,-1.566122,47.210649,nantes,44100,nantes,-1.548204252,47.23204641,2.738747017983993
13328,2021,122900.0,77,3,-1.518992,47.265286,nantes,44300,nantes,-1.548204252,47.23204641,4.306587042890024
13329,2021,189090.0,79,4,-1.538578,47.21605,nantes,44000,nantes,-1.548204252,47.23204641,1.9220462798933224
13330,2021,257000.0,69,3,-1.573759,47.229842,nantes,44100,nantes,-1.548204252,47.23204641,1.9506578009782576
13331,2021,225000.0,64,3,-1.508353,47.237676,nantes,44300,nantes,-1.548204252,47.23204641,3.081840925344965
13332,2021,141000.0,44,1,-1.530423,47.240923,nantes,44300,nantes,-1.548204252,47.23204641,1.6693299502595114
13333,2021,428000.0,99,4,-1.582354,47.219369,nantes,44100,nantes,-1.548204252,47.23204641,2.945433289800984
13334,2021,169000.0,47,2,-1.531244,47.220295,nantes,44000,nantes,-1.548204252,47.23204641,1.8321382312379904
